iter	MultiClass
0	1.035862635
1	0.9867737856
2	0.9463120829
3	0.9134606193
4	0.8856612757
5	0.8608485106
6	0.8407663526
7	0.8235027979
8	0.8081961123
9	0.7946478773
10	0.7825220959
11	0.7728582122
12	0.7642274134
13	0.7562471373
14	0.7495497398
15	0.743396462
16	0.7380401387
17	0.7326177096
18	0.7275568694
19	0.7236466244
20	0.7200675628
21	0.7162949781
22	0.7137122429
23	0.7110857392
24	0.7084555886
25	0.7061055605
26	0.7042874934
27	0.7024497039
28	0.7011096121
29	0.6996975897
30	0.6978650673
31	0.6967106991
32	0.6954370943
33	0.6947195573
34	0.6934111085
35	0.6925641722
36	0.6914962237
37	0.6908892571
38	0.6898576235
39	0.6891340137
40	0.6882042954
41	0.68753582
42	0.6867185504
43	0.6857952191
44	0.6847111341
45	0.6842947848
46	0.6836253283
47	0.6827606097
48	0.6822963092
49	0.6818664523
50	0.6814474388
51	0.6811002834
52	0.6805657757
53	0.6801772236
54	0.6797401478
55	0.6794009504
56	0.678835485
57	0.6784807842
58	0.6780730423
59	0.6774013039
60	0.6769083191
61	0.6766273067
62	0.6762665075
63	0.6758333538
64	0.6753791541
65	0.6750823471
66	0.6746508512
67	0.6742601911
68	0.673764167
69	0.6735590941
70	0.6730893693
71	0.6727454591
72	0.6724036894
73	0.6721544864
74	0.671780947
75	0.6714391237
76	0.6711027039
77	0.6707587887
78	0.6703601538
79	0.6700879025
80	0.6697894043
81	0.6694459165
82	0.6691366374
83	0.6687260434
84	0.6685079744
85	0.6682641105
86	0.6680446804
87	0.6677838858
88	0.6673980417
89	0.6670396291
90	0.6668147854
91	0.6665128822
92	0.6662813045
93	0.6659823894
94	0.6657190973
95	0.665295036
96	0.6648342854
97	0.6646516369
98	0.664231982
99	0.6638757578
100	0.6634988655
101	0.6632145558
102	0.662890392
103	0.6626148798
104	0.6623488073
105	0.6619982448
106	0.6615538144
107	0.6612601876
108	0.6609316328
109	0.6605944414
110	0.66021835
111	0.6600132287
112	0.6595913829
113	0.6593930212
114	0.6590002846
115	0.6586258355
116	0.6583977073
117	0.6580839281
118	0.6577273276
119	0.6573676234
120	0.6570627062
121	0.6566917548
122	0.6563801101
123	0.6560123544
124	0.6556598363
125	0.6553650324
126	0.6551587752
127	0.6547896458
128	0.6543837271
129	0.653948015
130	0.6537639972
131	0.6535571994
132	0.6531374567
133	0.6529511336
134	0.6526710551
135	0.6523149625
136	0.6520921938
137	0.6517654353
138	0.6514254758
139	0.6511466086
140	0.6507903378
141	0.650581842
142	0.6502682682
143	0.6497588302
144	0.6495677591
145	0.6489246877
146	0.6487617003
147	0.6482868497
148	0.6479757751
149	0.647845751
150	0.6476200515
151	0.6473624642
152	0.6469971832
153	0.6467334616
154	0.6464061556
155	0.646125554
156	0.6458133359
157	0.6455677274
158	0.6453132913
159	0.6450883773
160	0.6446941391
161	0.6443572095
162	0.6440163353
163	0.6437022152
164	0.6434391582
165	0.643285619
166	0.6429661517
167	0.6427866069
168	0.642553815
169	0.6421909964
170	0.641908199
171	0.6416821022
172	0.6415246793
173	0.641269003
174	0.641043911
175	0.6408202004
176	0.6405794443
177	0.6403936437
178	0.6401354701
179	0.6399454871
180	0.6397600878
181	0.6395943394
182	0.6394019863
183	0.6390373935
184	0.6387090984
185	0.6384020864
186	0.6382496857
187	0.6380953604
188	0.6377476176
189	0.6375905981
190	0.6373244384
191	0.6371020291
192	0.6370134164
193	0.6368381965
194	0.6365531169
195	0.6362390494
196	0.6360197901
197	0.6358073201
198	0.6353419364
199	0.6351643777
200	0.6348431063
201	0.6346841484
202	0.6344713513
203	0.6341973643
204	0.633870679
205	0.6335965368
206	0.6333829674
207	0.633034783
208	0.6327571473
209	0.6326686021
210	0.6325451114
211	0.6321056078
212	0.6317554452
213	0.6314857076
214	0.6311513813
215	0.6307834559
216	0.6306424769
217	0.6303115929
218	0.6300503014
219	0.6297531472
220	0.6295063236
221	0.629315997
222	0.6290847692
223	0.6288311344
224	0.6286374457
225	0.6284132508
226	0.628044327
227	0.6278712967
228	0.6276594169
229	0.6273682652
230	0.6270913087
231	0.6266800783
232	0.6265293819
233	0.6262293708
234	0.6260239129
235	0.6258305907
236	0.6256679124
237	0.6254130861
238	0.625268755
239	0.6251238948
240	0.625016694
241	0.6246666014
242	0.624529405
243	0.6243221793
244	0.6241950453
245	0.6240377245
246	0.6238486441
247	0.6236068055
248	0.6234854327
249	0.6231568182
250	0.6229970468
251	0.6227587958
252	0.6225743681
253	0.6223377369
254	0.6221465079
255	0.6218239605
256	0.6216226571
257	0.6213599466
258	0.6211753599
259	0.6209250744
260	0.6207017871
261	0.6204635597
262	0.6203662683
263	0.6201769446
264	0.6200626685
265	0.6199156012
266	0.6195810185
267	0.6193336496
268	0.6191600507
269	0.6189710095
270	0.6188137528
271	0.6186761197
272	0.6184378845
273	0.6183077397
274	0.6180869193
275	0.6179498846
276	0.6178045479
277	0.6176820005
278	0.6176114452
279	0.6174554332
280	0.6171667046
281	0.6169604172
282	0.6166790543
283	0.6164892318
284	0.6162838037
285	0.6160590568
286	0.615957751
287	0.6158154489
288	0.615635841
289	0.6154411012
290	0.6152650695
291	0.6151694996
292	0.6150218322
293	0.6149354909
294	0.6146910172
295	0.6144857061
296	0.6143589473
297	0.6142404863
298	0.6140597215
299	0.6138922341
300	0.6135689325
301	0.6134302649
302	0.6132040133
303	0.6131000343
304	0.6128398897
305	0.612649751
306	0.6123218799
307	0.6120469741
308	0.6119249297
309	0.6117088556
310	0.6115375203
311	0.6113263989
312	0.6110851458
313	0.6110085141
314	0.6107643069
315	0.6104785168
316	0.6103189194
317	0.6101700021
318	0.6100410361
319	0.6099223717
320	0.6096168151
321	0.6095056946
322	0.6092906987
323	0.6090118233
324	0.608787101
325	0.608528946
326	0.6083825863
327	0.6082761416
328	0.6081139545
329	0.6078433598
330	0.6076867804
331	0.6075766568
332	0.6073506815
333	0.60717934
334	0.6070363079
335	0.6068311294
336	0.6066832749
337	0.6064558238
338	0.6063160144
339	0.6061644495
340	0.6059204055
341	0.6057871638
342	0.6055592494
343	0.6054466139
344	0.6052510583
345	0.6052003345
346	0.6050306278
347	0.6049016058
348	0.6047664042
349	0.6046633488
350	0.6044733399
351	0.6042462296
352	0.6040604915
353	0.6039654614
354	0.6037265754
355	0.6034672217
356	0.603316586
357	0.6032282043
358	0.6030307309
359	0.602852359
360	0.6025948128
361	0.6024650187
362	0.6022015055
363	0.6020945044
364	0.6018372326
365	0.6016671472
366	0.6012349276
367	0.6010708231
368	0.6009349296
369	0.6008477962
370	0.6006792036
371	0.6004705221
372	0.6003524505
373	0.6001361336
374	0.5999733471
375	0.599711848
376	0.5994582023
377	0.5993691818
378	0.5992047536
379	0.5990807987
380	0.5989672143
381	0.5987878961
382	0.5984967629
383	0.5983533935
384	0.5981577682
385	0.5980064332
386	0.597827189
387	0.59770276
388	0.5975822745
389	0.5973614441
390	0.5972753489
391	0.5971830408
392	0.5970137019
393	0.5968686973
394	0.5967747118
395	0.5966136408
396	0.5964726575
397	0.5962213682
398	0.5959533595
399	0.5957657098
400	0.5956859267
401	0.5954899411
402	0.5952225673
403	0.5950662821
404	0.5948290252
405	0.5946596099
406	0.5944323185
407	0.5943137269
408	0.5941409037
409	0.5939887729
410	0.5939298985
411	0.5936703004
412	0.5935619526
413	0.5934604438
414	0.5934055662
415	0.5932561514
416	0.5930196637
417	0.5928041183
418	0.5925963224
419	0.5925060537
420	0.5923137525
421	0.5921866535
422	0.5920109288
423	0.5917543793
424	0.5915075308
425	0.5913628392
426	0.5911549204
427	0.5909383957
428	0.5908392075
429	0.590631036
430	0.5905303952
431	0.5902488532
432	0.5901533017
433	0.5900578409
434	0.5898852456
435	0.5897036547
436	0.5895423413
437	0.5894168921
438	0.5891950919
439	0.5891345298
440	0.5890264241
441	0.5888828026
442	0.5887323504
443	0.5886183246
444	0.5885353294
445	0.588396376
446	0.5881555276
447	0.5880153819
448	0.5877469881
449	0.5876559856
450	0.5875322722
451	0.5873564519
452	0.5872374577
453	0.5871858638
454	0.5870967786
455	0.5867550277
456	0.5865660489
457	0.5862847323
458	0.5861844088
459	0.5859883408
460	0.585919784
461	0.585837049
462	0.5856624468
463	0.5854730628
464	0.5852336632
465	0.5850832266
466	0.5849433934
467	0.5848562777
468	0.5846737648
469	0.5845277802
470	0.5843747636
471	0.5841587058
472	0.5839298874
473	0.5838285754
474	0.5836336619
475	0.5835616108
476	0.5834314068
477	0.5833075912
478	0.5831578191
479	0.5829812154
480	0.5825201333
481	0.5822170993
482	0.5820839887
483	0.5818029745
484	0.5816707324
485	0.5814913559
486	0.5813959719
487	0.5812820314
488	0.581183055
489	0.5810211728
490	0.5808427207
491	0.5807388487
492	0.5805483643
493	0.5804407252
494	0.5802370354
495	0.5801040038
496	0.579994263
497	0.5799042917
498	0.5797225623
499	0.579557651
500	0.5794397522
501	0.5793132272
502	0.5791515492
503	0.5789562043
504	0.5788179197
505	0.5785712582
506	0.5784803904
507	0.5782780554
508	0.5780980492
509	0.5780020748
510	0.5778662308
511	0.5775528428
512	0.5772733949
513	0.5771175799
514	0.5770003863
515	0.5766699281
516	0.5766135723
517	0.57641223
518	0.5762417347
519	0.576111013
520	0.5760398234
