iter	Passed	Remaining
0	220	220295
1	254	126959
2	283	94244
3	309	77114
4	339	67562
5	367	60804
6	396	56214
7	426	52895
8	465	51220
9	495	49021
10	529	47644
11	561	46189
12	593	45026
13	623	43893
14	659	43303
15	690	42478
16	716	41415
17	747	40786
18	776	40106
19	805	39455
20	837	39022
21	869	38650
22	904	38441
23	934	37987
24	963	37586
25	996	37318
26	1032	37197
27	1064	36956
28	1100	36840
29	1127	36468
30	1159	36235
31	1194	36146
32	1219	35745
33	1247	35447
34	1274	35149
35	1305	34964
36	1331	34653
37	1355	34325
38	1378	33955
39	1407	33789
40	1437	33623
41	1468	33502
42	1512	33669
43	1545	33575
44	1577	33485
45	1606	33315
46	1633	33122
47	1673	33183
48	1704	33076
49	1754	33340
50	1791	33328
51	1824	33270
52	1862	33273
53	1892	33149
54	1918	32955
55	1957	32990
56	1990	32929
57	2025	32888
58	2058	32823
59	2094	32810
60	2128	32771
61	2164	32741
62	2206	32817
63	2238	32737
64	2272	32695
65	2304	32610
66	2336	32534
67	2364	32405
68	2403	32431
69	2435	32356
70	2468	32300
71	2503	32262
72	2539	32247
73	2579	32276
74	2622	32338
75	2653	32257
76	2680	32136
77	2710	32039
78	2750	32060
79	2782	31994
80	2807	31853
81	2835	31748
82	2866	31668
83	2892	31540
84	2915	31384
85	2944	31295
86	2969	31162
87	2998	31078
88	3025	30972
89	3060	30948
90	3106	31028
91	3140	30990
92	3171	30933
93	3201	30861
94	3229	30766
95	3258	30683
96	3290	30634
97	3325	30611
98	3358	30562
99	3390	30516
100	3429	30529
101	3471	30565
102	3509	30565
103	3542	30519
104	3577	30492
105	3611	30460
106	3642	30396
107	3671	30327
108	3704	30283
109	3745	30301
110	3786	30325
111	3815	30255
112	3857	30276
113	3887	30211
114	3910	30096
115	3938	30011
116	3966	29933
117	4016	30019
118	4051	29993
119	4079	29919
120	4111	29866
121	4144	29830
122	4170	29736
123	4203	29694
124	4235	29646
125	4265	29585
126	4289	29487
127	4319	29426
128	4344	29333
129	4373	29266
130	4400	29187
131	4432	29145
132	4458	29066
133	4485	28987
134	4508	28889
135	4535	28814
136	4564	28756
137	4601	28745
138	4636	28722
139	4660	28630
140	4686	28549
141	4708	28449
142	4735	28380
143	4769	28349
144	4792	28261
145	4826	28231
146	4849	28137
147	4872	28050
148	4895	27962
149	4915	27855
150	4937	27759
151	4961	27678
152	4991	27631
153	5014	27545
154	5041	27486
155	5070	27433
156	5102	27400
157	5133	27355
158	5165	27321
159	5197	27287
160	5230	27258
161	5260	27211
162	5292	27174
163	5317	27108
164	5348	27065
165	5373	26997
166	5402	26950
167	5434	26913
168	5466	26878
169	5502	26866
170	5548	26900
171	5587	26896
172	5625	26891
173	5652	26833
174	5683	26795
175	5714	26752
176	5741	26696
177	5766	26628
178	5793	26570
179	5818	26504
180	5843	26442
181	5867	26373
182	5895	26321
183	5934	26319
184	5971	26306
185	6010	26305
186	6039	26256
187	6067	26208
188	6098	26167
189	6126	26116
190	6155	26070
191	6192	26058
192	6216	25994
193	6245	25949
194	6275	25907
195	6303	25856
196	6330	25803
197	6364	25778
